Symbol,Atomic_Number,Atomic_Weight,Period,group,families,Mendele_Number,l_quantum_number,Atomic_Radus,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,Orbital_Radius(pm),crystal_radius,Pauling_Electronegativity,MB_electonegativity,Nagle_electonegativity,Pearson_abs_electonegativity,Gordy_electonegativity,Mulliken_EN,Allred-Rockow_electronegativity,metallic_valence,number_of_valence_electrons,gilmor_number_of_valence_electron,valence_s,valence_p,valence_d,valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,outer_shell_electrons,1st_ionization_potential_(kJ/mol),polarizability(A^3),Melting_point_(K),Boiling_Point_(K),Molar_Denstiy_(mol/ml),Density_(g/mL),Molar_Heat_Capacity(J/mol_K),specific_heat_(J/g_K)_,heat_of_fusion_(kJ/mol)_,heat_of_vaporization_(kJ/mol)_,thermal_conductivity_(W/(m_K))_,heat_atomization(kJ/mol),Cohesive_energy,B(Gpa),nws(e/au3),volume(10-6m3),Work_function,G,abs_valence,Nearest_Neighbor_Distance(pm),Critical_Temperature,Low_Temp_Debye(K),High_Temp_Debye(K),Atomic_Concentration(1e-23_cm-3)
Y,39,88.91,5,3,3,12,2,2.12,179,1.62,2.94,1.85,169.3,1.04,1.22,1.41,1.11,3.19,3.4,3.19,1.12,3,3,1,2,0,1,0,0,6,9,14,2,600,22.7,1796.15,3610.15,0.05,4.47,26.67,0.3,11.4,363,17.2,423,4.37,41.2,1.77,19.9,3.1,26,1,355,8950,248,214,3.02
Zr,40,91.22,5,4,4,44,2,2.06,158,1.48,2.83,1.55,159.3,0.86,1.33,1.7,1.17,3.64,3.45,3.64,1.32,4,4,2,2,0,2,0,0,6,8,14,2,640,17.9,2125.15,4650.15,0.07,6.51,24.63,0.27,16.9,582,22.7,609,6.25,89.8,2.8,14,4.05,33,2,317,8650,290,250,4.29
Nb,41,92.91,5,5,4,47,2,1.98,143,1.37,2.76,1.45,158.9,0.78,1.6,2.03,1.21,4,3.5,4,1.41,5,5,3,1,0,4,0,1,6,6,14,1,652,15.7,2741.15,5015.15,0.09,8.57,24.16,0.26,26.4,682,53.7,726,7.57,170,4.41,10.8,4.87,38,4,286,8700,276,260,5.56
Mo,42,95.94,5,6,4,50,2,1.9,139,1.45,2.72,1.45,152,0.79,2.16,1.94,1.26,3.9,3.55,3.9,1.47,5.78,6,4,1,0,5,0,1,6,5,14,1,684,12.8,2890.15,4885.15,0.11,10.2,23.99,0.25,32,598,138,658,6.82,261,5.55,9.4,4.95,20,5,272,9450,423,377,6.42
Tc,43,97.91,5,7,4,53,2,1.83,136,1.56,2.65,1.35,139.1,0.79,1.9,2.18,1.3,1.3,3.61,4,1.51,5.78,7,5,2,0,5,0,0,6,5,14,2,702,11.4,2445.15,5150.15,0.12,11.5,20.56,0.21,24,660,50.6,677,6.85,281,5.93,8.64,,,5,271,11500,454,422,7.04
Ru,44,101.07,5,8,4,56,2,1.78,134,1.26,2.61,1.3,141,0.82,2.2,1.97,1.35,4.5,3.67,4.5,1.54,5.78,8,5,1,0,7,0,1,6,3,14,1,710,9.6,2583.15,4173.15,0.12,12.4,24.05,0.24,24,595,117,643,6.74,286,6.13,8.2,4.71,173,7,264,9600,555,415,7.36
Rh,45,102.91,5,9,4,59,2,1.73,132,1.35,2.52,1.35,136.4,0.81,2.28,1.99,1.39,4.3,3.73,4.3,1.56,5.78,9,4,1,0,8,0,1,6,2,14,1,720,8.6,2239.15,4000.15,0.12,12.4,24.9,0.24,21.5,493,150,556,5.75,276,5.45,8.3,4.98,150,8,269,7000,512,350,7.26
Pd,46,106.42,5,10,4,62,2,1.69,142,1.31,2.45,1.4,56.7,0.78,2.2,2.08,1.61,4.45,3.79,4.45,1.59,5.78,10,3,0,0,10,0,2,6,0,14,0,804,4.8,1827.15,3413.15,0.11,12,25.54,0.24,17.6,357,71.8,378,3.89,187,4.66,8.9,5.22,44,0,275,7100,271,275,6.8
Ag,47,107.87,5,11,4,65,0,1.65,144,1.53,2.38,1.6,128.6,1.29,1.93,1.07,1.45,4.44,3.85,4.44,1.87,5.44,11,2,1,0,10,0,1,6,0,14,1,731,7.9,1235.15,2485.15,0.1,10.5,25.35,0.24,11.3,250.58,429,284,2.95,104,2.52,10.25,4.74,30,0,289,7480,227.3,221,5.85
Cd,48,112.41,5,12,4,70,0,1.61,157,1.48,2.22,1.55,118.4,0.92,1.69,1.4,1.45,4.33,3.92,4.33,1.52,4.44,12,1,2,0,10,0,0,6,0,14,2,868,7.2,594.05,1038.15,0.08,8.65,25.85,0.23,6.19,99.57,96.8,112,1.16,51,1.91,13,4.08,19,0,298,2960,210,221,4.64
